Id,Label,occ_field,weighted_avg_income,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,eigencentrality
4760,Retail Salespersons,Sales and Related,40195.091485,254,234,488,11849445.08,4041855.48,15891300.56,3,0.673134,0.758684,5964.860849,0.139062,0.134864,0.009191,0,0,1,3,1
4820,"Securities, Commodities, and Financial Services Sales Agents",Sales and Related,112268.126196,69,60,129,752666.42,561018.14,1313684.56,3,0.526254,0.560976,215.576874,0.04872,0.042386,0.002674,0,0,1,26,0.334112
4840,"Sales Representatives, Services, All Other",Sales and Related,73953.844944,131,129,260,2925824.89,5965405.47,8891230.36,3,0.581935,0.642276,909.171257,0.089477,0.087304,0.004704,0,0,1,15,0.623951
4850,"Sales Representatives, Wholesale and Manufacturing",Sales and Related,61998.568659,155,212,367,6605073.58,10949390.54,17554464.12,2,0.653623,0.735033,2659.984076,0.098153,0.125525,0.005872,0,0,1,142,0.713089
4920,Real Estate Brokers and Sales Agents,Sales and Related,61564.926292,98,86,184,1384209.37,1022987.93,2407197.3,3,0.550672,0.594235,492.071637,0.065393,0.060143,0.003659,0,0,1,19,0.449665
4940,Telemarketers,Sales and Related,25748.329127,53,46,99,318097.57,159143.05,477240.62,3,0.520785,0.547302,52.601882,0.04694,0.037338,0.001925,0,0,1,50,0.308027
5120,"Bookkeeping, Accounting, and Auditing Clerks",Office and Administrative Support,39483.417231,81,87,168,543041.26,472769.48,1015810.74,3,0.54933,0.594235,383.450273,0.057019,0.058066,0.003128,0,0,9,181,0.389037
5240,Customer Service Representatives,Office and Administrative Support,40214.99049,188,198,386,2262627.88,2319699.53,4582327.41,3,0.63881,0.718773,4201.384302,0.110329,0.11616,0.007127,0,0,9,4,0.784129
5400,Receptionists and Information Clerks,Office and Administrative Support,28139.743758,97,96,193,643940.77,485700.82,1129641.59,3,0.555419,0.604213,963.289885,0.065263,0.058301,0.003792,0,0,9,153,0.454784
5550,Postal Service Mail Carriers,Office and Administrative Support,52087.54113,48,46,94,318322.89,276524.25,594847.14,3,0.518987,0.546194,137.954491,0.041466,0.034104,0.00185,0,0,4,12,0.271196
5600,"Production, Planning, and Expediting Clerks",Office and Administrative Support,52999.677207,80,80,160,484086.44,436330.61,920417.05,3,0.544029,0.586105,303.64302,0.058322,0.05808,0.002966,0,0,9,191,0.395828
5620,Stock Clerks and Order Fillers,Office and Administrative Support,24889.335765,206,217,423,3579982.51,2915825.42,6495807.93,3,0.656477,0.739837,3953.546533,0.119337,0.12695,0.007468,0,0,9,144,0.848849
5860,"Office Clerks, General",Office and Administrative Support,32026.545829,115,120,235,1030456.49,737558.08,1768014.57,3,0.575255,0.632299,1462.249299,0.079664,0.075575,0.004688,0,0,9,28,0.564771
5940,"Office and administrative support workers, nec",Office and Administrative Support,46457.639437,102,97,199,691445.08,442001.67,1133446.75,3,0.55886,0.6068,706.666236,0.071317,0.062234,0.003806,0,0,9,49,0.487632
6200,First-Line Supervisors of Construction Trades and Extraction Workers,Construction,52986.938742,112,150,262,812537.2,860548.49,1673085.69,3,0.597351,0.665188,1323.076147,0.074313,0.094122,0.003972,0,0,9,171,0.515601
6220,"Brickmasons, Blockmasons, and Stonemasons",Construction,29532.871354,55,64,119,404147.97,289562.99,693710.96,3,0.53184,0.567258,120.431956,0.046377,0.047963,0.001922,0,0,9,33,0.304393
6230,Carpenters,Construction,27237.014358,184,207,391,2234730.75,1405216.98,3639947.73,2,0.648921,0.72949,3319.605672,0.113025,0.121472,0.006477,0,0,9,80,0.790215
6355,Electricians,Construction,48931.686916,124,129,253,931144.38,737287.9,1668432.28,3,0.581186,0.641907,811.708604,0.086641,0.088483,0.004247,0,0,9,184,0.587551
7010,"Computer, Automated Teller, and Office Machine Repairers","Installation, Maintenance, and Repair",42867.457314,120,98,218,855837.02,837031.29,1692868.31,3,0.555419,0.605691,817.344017,0.080296,0.063809,0.004347,0,0,6,139,0.556689
7210,Bus and Truck Mechanics and Diesel Engine Specialists,"Installation, Maintenance, and Repair",42695.888675,98,88,186,936694.85,891233.32,1827928.17,3,0.546005,0.593126,529.142797,0.069349,0.058699,0.003441,0,0,6,145,0.462768
7330,Industrial and Refractory Machinery Mechanics,"Installation, Maintenance, and Repair",48055.29596,113,106,219,1006352,1157862.04,2164214.04,3,0.560945,0.61456,844.710382,0.073384,0.066562,0.004071,0,0,6,124,0.498603
7700,First-Line Supervisors of Production and Operating Workers,Production,57093.395864,111,134,245,497327.09,562846.41,1060173.5,3,0.586476,0.648189,1371.718413,0.077326,0.088407,0.00404,0,0,9,156,0.529366
8600,"Power Plant Operators, Distributors, and Dispatchers",Production,79603.053448,37,37,74,128823.95,109921.39,238745.34,3,0.507312,0.532151,46.079875,0.024634,0.023824,0.001432,0,0,9,163,0.158164
9000,Supervisors of Transportation and Material Moving Workers,Transportation and Material Moving,56664.277604,53,68,121,401883.17,395892.15,797775.32,3,0.538186,0.57391,145.794511,0.042063,0.052114,0.001939,0,0,2,92,0.267372
9100,Bus and Ambulance Drivers and Attendants,Transportation and Material Moving,32313.432191,101,79,180,1032093.88,739223.87,1771317.75,3,0.54272,0.584627,486.787031,0.071807,0.054923,0.003768,0,0,9,164,0.491394
9130,Driver/Sales Workers and Truck Drivers,Transportation and Material Moving,38524.546825,258,290,548,6629240.27,6311000.02,12940240.29,2,0.736928,0.821508,9238.293964,0.138898,0.151906,0.00926,0,0,9,18,0.99682
9140,Taxi Drivers and Chauffeurs,Transportation and Material Moving,24039.790999,128,112,240,1720269.36,953801.65,2674071.01,2,0.570886,0.624169,907.321989,0.082973,0.075338,0.004714,0,0,9,24,0.588428
160,"Transportation, Storage, and Distribution Managers","Management in Business, Science, and Arts",61076.367998,63,82,145,577329.11,486500.25,1063829.36,3,0.547995,0.5898,362.424207,0.046889,0.060175,0.002408,0,0,9,192,0.311045
500,"Agents and Business Managers of Artists, Performers, and Athletes",Business Operations Specialists,66359.161319,22,24,46,117707.51,95360.32,213067.83,3,0.482869,0.505913,13.44631,0.017791,0.01475,0.001055,0,0,0,20,0.114317
