Source,Target,Weight,Income_target,Income_source,income_difference,income_change
30,10,10915.85,122376.001810108,71981.5811534488,50394.0,Increase
30,20,2790.54,71939.85509309573,71981.5811534488,-42.0,No Change
30,100,53114.25,59776.50690042917,71981.5811534488,-12205.0,Decrease
30,110,96085.68,93007.65480983052,71981.5811534488,21026.0,Increase
30,120,324904.38,69184.24660528889,71981.5811534488,-2797.0,No Change
30,140,2054.02,77340.47007361027,71981.5811534488,5359.0,Increase
30,150,5222.65,67418.80514406467,71981.5811534488,-4563.0,Decrease
30,160,3659.21,52081.485782055286,71981.5811534488,-19900.0,Decrease
30,220,1672.28,57933.354810978235,71981.5811534488,-14048.0,Decrease
30,230,15519.84,60040.51580152491,71981.5811534488,-11941.0,Decrease
30,310,7046.87,30381.709707070822,71981.5811534488,-41600.0,Decrease
30,320,2536.89,34719.54463132254,71981.5811534488,-37262.0,Decrease
30,410,4465.889999999999,42328.812010387555,71981.5811534488,-29653.0,Decrease
30,420,13116.630000000001,52773.763731124105,71981.5811534488,-19208.0,Decrease
30,430,70252.01,59991.27376507405,71981.5811534488,-11990.0,Decrease
30,520,1414.77,40204.699115225296,71981.5811534488,-31777.0,Decrease
30,560,1699.24,66202.83923163307,71981.5811534488,-5779.0,Decrease
30,620,11044.73,55449.62837741435,71981.5811534488,-16532.0,Decrease
30,710,10968.39,61654.7628255463,71981.5811534488,-10327.0,Decrease
30,720,7749.1900000000005,50625.86113001754,71981.5811534488,-21356.0,Decrease
30,730,36702.340000000004,53108.0109584347,71981.5811534488,-18874.0,Decrease
30,800,6072.49,53248.11417774415,71981.5811534488,-18733.0,Decrease
30,850,5234.08,74510.7113317222,71981.5811534488,2529.0,No Change
30,910,1265.18,55124.803213033185,71981.5811534488,-16857.0,Decrease
30,950,581.08,46065.14051767193,71981.5811534488,-25916.0,Decrease
30,1000,13181.81,64442.758693966396,71981.5811534488,-7539.0,Decrease
30,1020,4070.14,89594.70288783994,71981.5811534488,17613.0,Increase
30,1060,1487.6,67689.74283678467,71981.5811534488,-4292.0,Decrease
30,1100,4971.860000000001,58383.91612397508,71981.5811534488,-13598.0,Decrease
30,1220,3358.81,67148.28688769892,71981.5811534488,-4833.0,Decrease
30,1240,2529.5600000000004,73688.25894582314,71981.5811534488,1707.0,No Change
30,1300,2329.47,55485.84983304137,71981.5811534488,-16496.0,Decrease
30,1800,6904.34,64027.91396390481,71981.5811534488,-7954.0,Decrease
30,1960,2005.0,38179.429267303174,71981.5811534488,-33802.0,Decrease
30,2000,5264.68,41116.91732645472,71981.5811534488,-30865.0,Decrease
30,2010,3814.68,42112.5556039904,71981.5811534488,-29869.0,Decrease
30,2020,3945.56,33202.714077259,71981.5811534488,-38779.0,Decrease
30,2100,9380.630000000001,116807.2132704555,71981.5811534488,44826.0,Increase
30,2140,1895.2,45479.81752668261,71981.5811534488,-26502.0,Decrease
30,2150,401.1,44916.50677002731,71981.5811534488,-27065.0,Decrease
30,2200,4989.26,50935.81055213844,71981.5811534488,-21046.0,Decrease
30,2300,2250.67,27030.488996981367,71981.5811534488,-44951.0,Decrease
30,2320,2308.05,46835.1079333777,71981.5811534488,-25146.0,Decrease
30,2400,322.06,44202.89171851812,71981.5811534488,-27779.0,Decrease
30,2540,4791.0,18753.81034832787,71981.5811534488,-53228.0,Decrease
30,2550,3420.79,45243.11385037865,71981.5811534488,-26738.0,Decrease
30,2630,10660.02,34303.25289460722,71981.5811534488,-37678.0,Decrease
30,2720,3850.54,19950.539440411856,71981.5811534488,-52031.0,Decrease
30,2810,1801.81,46090.99963204851,71981.5811534488,-25891.0,Decrease
30,2825,29675.910000000003,57666.23398940734,71981.5811534488,-14315.0,Decrease
30,2840,307.56,62799.91517803783,71981.5811534488,-9182.0,Decrease
30,2850,3515.48,39823.470474258684,71981.5811534488,-32158.0,Decrease
30,2910,1170.33,16799.246426872916,71981.5811534488,-55182.0,Decrease
